 Name,Rating,Cuisine,Address,No. of Ratings
Rolls Mania,4.0,Fast Food,"Civil Lines, Ashok Nagar",500+ ratings
Shri Ram Bhojnalaya,4.2,North Indian,"Leader Road, Leader Road",1000+ ratings
Burger Station,4.2,"American, Beverages, Snacks, Fast Food","Kareli, Kareli",100+ ratings
Curry Leaf,4.0,South Indian,"Civil Lines, Civil Lines",1000+ ratings
Bati Chokha Wala,4.0,Indian,"Civil Lines, Civil Lines",100+ ratings
Red Chili Indian Restaurant,3.8,"Indian, Chinese, Pizzas, Continental, Beverages, Snacks","Kareli, Dhoomanganj",50+ ratings
Celebrations,4.0,"North Indian, South Indian, Chinese, Fast Food","Civil Lines, Civil Lines",100+ ratings
Makkhan's  Veg Restaurant(Meerapatti-Transport Nagar),3.9,"North Indian, Chinese, South Indian, American, Italian","Dhoomanganj, Dhoomanganj",100+ ratings
Checkers Pizza & Shawarma,3.9,"Pizzas, Fast Food","Kareli, Kareli",1000+ ratings
Kalevam,3.9,"Chinese, North Indian, South Indian","Dhoomanganj, Dhoomanganj",100+ ratings
Pizza Club 99,3.7,"Pizzas, Beverages, Fast Food","Dhoomanganj, Dhoomanganj",500+ ratings
PIZZA SLICE AND FAST FOOD,3.5,"Pizzas, Fast Food, Snacks","Kareli, Jhalwa",20+ ratings
Kalptaru Sweets N Bakery,3.7,"Sweets, Bakery, North Indian, Chinese, South Indian","Lukerganj, Lukarganj",100+ ratings
"USPFC PIZZA , Jhalwa",3.5,"Pizzas, Beverages, Fast Food","Naini, Jhalwa",20+ ratings
Pizzaria Tree,3.0,"Pizzas, Pastas, Fast Food, Snacks, Beverages","Kareli, Rajrooppur",20+ ratings
Gourmet Restaurent and bakery,3.4,"Indian, Chinese, Fast Food, Pizzas, Bakery","Kareli, Kareli",50+ ratings
Pizza Fire In,3.6,"Pizzas, Fast Food","dhoomanganj, Dhoomanganj",100+ ratings
AL-Baik Zone,4.0,Mughlai,"Kareli, Kareli",100+ ratings
Paratha Junction,4.0,"Opens next at 7:40 pm, todayNorth Indian","Kareli, Lukarganj",50+ ratings
TASTE GARAGE,4.0,"Fast Food, Combo","Kareli, Kareli",20+ ratings
Allahabad Kabab Paratha,4.0,"North Indian, Mughlai","Civil Lines, Atala",500+ ratings
Sindhi Curry,4.4,"Indian, North Indian, Desserts, Sweets","Civil Lines, Civil Lines",500+ ratings
Hyderabadi Biryani,3.9,"Mughlai, Biryani, Chinese","Civil Lines, Civil Lines",100+ ratings
9280 The Family Restaurant,3.8,Mughlai,"Civil Lines, Civil Lines",100+ ratings
Jai Shree Shankar Punjabi Dhaba,3.7,"Indian, North Indian","Civil Lines, Civil Lines",1000+ ratings
JUICE JAR,4.3,Juices,"Kareli, Kareli",20+ ratings
The Fryers,3.0,"Chinese, Fast Food","Kareli, Kareli",Too Few Ratings
Gupta Chaat Bhamdar,3.0,"Opens next at 3 pm, TuesdayIndian","Chowk, Chowk",Too Few Ratings
SHREE GANESH SWEET,3.9,"Opens next at 9 am, tomorrowDesserts, Snacks, Beverages","Kareli, Kareli",20+ ratings
