name,ingredients,diet,flavor_profile,state,region
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,sweet,West Bengal,East
Boondi,"Gram flour, ghee, sugar",vegetarian,sweet,Rajasthan,West
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,Punjab,North
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,sweet,Rajasthan,West
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,West Bengal,East
Imarti,"Sugar syrup, lentil flour",vegetarian,sweet,West Bengal,East
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,Uttar Pradesh,North
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,sweet,-1,-1
Kalakand,"Milk, cottage cheese, sugar",vegetarian,sweet,West Bengal,East
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,sweet,-1,-1
Laddu,"Gram flour, ghee, sugar",vegetarian,sweet,-1,-1
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,sweet,Punjab,North
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,sweet,-1,-1
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,sweet,Uttar Pradesh,North
Phirni,"Rice, sugar, nuts",vegetarian,sweet,Odisha,East
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,sweet,Uttar Pradesh,North
Sheera,"Semolina, ghee, nuts, milk",vegetarian,sweet,Maharashtra,West
Singori,"Khoa, coconut, molu leaf",vegetarian,sweet,Uttarakhand,North
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,sweet,Uttar Pradesh,North
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,sweet,Maharashtra,West
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,sweet,Odisha,East
Chhena kheeri,"Chhena, sugar, milk",vegetarian,sweet,Odisha,East
Chhena poda,"Sugar, chenna cheese",vegetarian,sweet,Odisha,East
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,sweet,West Bengal,East
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,sweet,Odisha,East
Ledikeni,"Chhena, sugar, ghee",vegetarian,sweet,West Bengal,East
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,sweet,Assam,North East
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,sweet,Bihar,North
Mihidana,"Besan flour, sugar, ghee",vegetarian,sweet,West Bengal,East
Misti doi,"Milk, jaggery",vegetarian,sweet,West Bengal,East
Pantua,"Chhena, sugar, ghee, flour",vegetarian,sweet,West Bengal,East
Pithe,"Rice flour, wheat flour",vegetarian,sweet,Assam,North East
Rasabali,"Chenna, sweetened milk",vegetarian,sweet,Odisha,East
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,sweet,West Bengal,East
Rasgulla,"Chhena, sugar, cardamom",vegetarian,sweet,West Bengal,East
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,sweet,West Bengal,East
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,sweet,West Bengal,East
Ariselu,"Rice flour, jaggery, ghee",vegetarian,sweet,Andhra Pradesh,South
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,sweet,Andhra Pradesh,South
Chikki,"Peanuts, jaggery",vegetarian,sweet,Maharashtra,West
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,sweet,Karnataka,South
Double ka meetha,"Loaf bread, milk",vegetarian,sweet,Telangana,South
